Name,Company,O.O.O Evaluation,Group Rank,note,ep2,ep5,ep8,ep9,ep11,ep11.5,ep12
Kawaguchi Yurina,Oscar Promotion,J09,J03,,-,1,2,5,6,13,14
Shen Xiaoting,TOP CLASS,C01,C,,3,2,1,1,1,16,9
Ezaki Hikaru,AVEX,J01,J02,,1,3,4,3,4,12,7
Choi Yujin,CUBE,K06,K02,,7,4,5,6,5,2,3
Sakamoto Mashiro,143 Entertainment,J02,J01,,-,5,3,4,3,14,8
Su Ruiqi,ETM Skies,C02,C02,,4,6,6,7,10,13
Cai Bing,IMAGE MUS1C,C28,C08,,8,7,8,26,26,-,-
Kang Yeseo,143 Entertainment,K13,K04,,2,8,12,11,12,6,6
May, FNC,J12,J08,,-,10,22,10,8,10
Fu Yaning, Gramarie,C07,C03,,-,20,22,10,8,10,12
Huening Bahiyyih,Individual,K26,K06,,-,14,24,13,13,5,2
